stop_name,lat,lon,Zip_Codes
Woodrow/Anderson,30.35245,-97.7234,78757
Woodrow/Princeton,30.349882,-97.723185,78757
Woodrow/Richcreek,30.346068,-97.724799,78757
7100 Woodrow/Piedmont,30.342980999999998,-97.725124,78757
7000 Woodrow/Cullen,30.341521999999998,-97.725904,78757
6800 Woodrow/Choquette,30.339208000000003,-97.727376,78757
6600 Woodrow/Brentwood,30.337479,-97.728461,78757
Woodrow/Payne,30.335922999999998,-97.729446,78757
Woodrow/Romeria,30.333637,-97.730682,78757
5900 Woodrow/Koenig,30.331024,-97.7316,78757
5626 Woodrow/Theckla,30.328865999999998,-97.732957,78756
5500 Woodrow/Houston,30.326461,-97.734505,78756
5300 Woodrow/North Loop,30.324296,-97.735849,78756
5200 Woodrow/North,30.322571000000003,-97.73695500000001,78756
1215 51st/Grover,30.320538,-97.735873,78756
1143 49th/Grover,30.318547,-97.736463,78756
909 45th/Lamar,30.31298,-97.736887,78751
507 45th/Guadalupe,30.310607,-97.732618,78751
301 45th/Avenue C,30.309534999999997,-97.73039200000001,78751
Speedway/45th,30.30835,-97.728674,78751
4300 Speedway/43rd,30.306696999999996,-97.729732,78751
4004 Speedway/40th,30.303497999999998,-97.731786,78751
3812 Speedway/38th Half,30.301379999999998,-97.733132,78751
3204 Speedway/33rd,30.29713,-97.735816,78705
Cesar Chavez/Brazos,30.262969000000002,-97.743365,78701
515 Cesar Chavez/Red River,30.261712,-97.73893199999999,78701
Riverside/Summit,30.245976000000002,-97.731836,78741
Riverside/Burton,30.240340999999997,-97.727308,78741
2237 Riverside/Willow Creek,30.238275,-97.726015,78741
2507 Riverside/Pleasant Valley,30.233867,-97.72376,78741
4411 Oltorf/Huntwick,30.226619,-97.72626,78741
2401 Wickersham/Oltorf,30.226039,-97.723488,78741
Wickersham/Cromwell,30.227021,-97.721847,78741
2207 Wickersham/Sheringham,30.229315000000003,-97.72135300000001,78741
4825 Riverside/Kirksey,30.231315999999996,-97.71704100000001,78741
5100 Riverside/Riverside Farms,30.230355,-97.714648,78741
5401 Riverside/Faro,30.229169,-97.712324,78741
5500 Riverside/Penick,30.228277000000002,-97.710766,78741
Ruiz Library,30.229539000000003,-97.706558,78741
Riverside/Faro,30.229833000000003,-97.712898,78741
4900 Riverside/Crossing Place,30.23136,-97.71637,78741
4823 Riverside/Crossing Place,30.231928000000003,-97.717861,78741
2100 Wickersham/Riverside,30.231526000000002,-97.720884,78741
Wickersham/Sheringham,30.229914,-97.72149300000001,78741
2300 Wickersham/Cromwell,30.227534000000002,-97.721731,78741
2440 Wickersham/Oltorf,30.226083000000003,-97.723784,78741
2433 Pleasant Valley/Oltorf,30.228028000000002,-97.727241,78741
2209 Pleasant Valley/Sheringham,30.231097,-97.72529899999999,78741
2426 Riverside/Pleasant Valley,30.235706,-97.72437,78741
Riverside/Willow Creek,30.238065000000002,-97.725635,78741
Riverside/Town Creek,30.24114,-97.727591,78741
Riverside/Shore District,30.242867999999998,-97.728889,78741
1600 Riverside/Summit,30.246505,-97.73196899999999,78741
400 Cesar Chavez/Trinity,30.262459999999997,-97.74084,78701
2231 Guadalupe/West Mall UT,30.285738000000002,-97.741618,78705
Speedway/35th,30.299217,-97.734341,78705
Speedway/39th,30.301591,-97.732825,78751
4301 Speedway/43rd,30.306615999999998,-97.72961600000001,78751
108 45th Street/Avenue D,30.309112,-97.729235,78751
408 45th Street/Avenue A,30.310425,-97.73187800000001,78751
636 45th/Guadalupe,30.31125,-97.733468,78751
918 45th/Lamar,30.313397,-97.737245,78751
Sunshine Station (NB),30.316434,-97.73571700000001,78751
4801 Sunshine (Criss Cole Rehab),30.317382000000002,-97.735114,78751
1100 49th/Grover,30.318790999999997,-97.73664699999999,78756
1200 51st/Grover,30.320707000000002,-97.735989,78756
5113 Woodrow/North,30.322371,-97.736892,78756
5223 Woodrow/North Loop,30.324061,-97.735824,78756
5413 Woodrow/Houston,30.326186,-97.734482,78756
5515 Woodrow/Houston,30.327565000000003,-97.733603,78756
5701 Woodrow/Theckla,30.329034000000004,-97.73267299999999,78756
5819 Woodrow/Koenig,30.330737,-97.73158000000001,78756
Woodrow/Alguno,30.332811,-97.730682,78757
Woodrow/Alegria,30.334573,-97.73012800000001,78757
6523 Woodrow/Brentwood,30.337279,-97.72842,78757
Woodrow/Dwyce,30.340171,-97.72659399999999,78757
7115 Woodrow/Piedmont,30.342848999999998,-97.72498399999999,78757
Woodrow/Pasadena,30.344977,-97.72521,78757
Woodrow/Morrow,30.34743,-97.723761,78757
7717 Woodrow/Princeton,30.349890000000002,-97.72301999999999,78757
1700 Anderson/Wooten Park,30.352790000000002,-97.72362,78757
Anderson/Mullen,30.35401,-97.72622,78757
4000 Tannehill/Jackie Robinson,30.276390000000003,-97.67603299999999,78721
Jackie Robinson/Delano,30.276588,-97.67835,78721
1420 Webberville/Fort Branch,30.27989,-97.681063,78721
Webberville/Ribbecke,30.279255,-97.683196,78721
12th/Webberville,30.278361,-97.685478,78721
4600 12th/Springdale,30.278940999999996,-97.68668199999999,78721
12th/Cometa,30.278639000000002,-97.689538,78721
3522 12th/E M Franklin,30.277864,-97.694461,78721
3250 12th/Airport,30.276978000000003,-97.70017800000001,78721
3100 12th/McKinley,30.276653999999997,-97.702258,78702
12th/Harvey,30.276346000000004,-97.70424,78702
2900 12th/Alexander,30.275723,-97.708093,78702
2730 12th/New York,30.275351,-97.710464,78702
12th/Cedar,30.274879,-97.713399,78702
2204 12th/Chestnut,30.274390000000004,-97.716486,78702
1914 12th/Chicon,30.273963000000002,-97.719142,78702
1700 12th/Leona,30.273521000000002,-97.72187,78702
1400 12th/Angelina,30.273059000000003,-97.7249,78702
1220 12th/San Bernard,30.272727000000003,-97.726844,78702
12th/IH-35,30.272088,-97.73084200000001,78702
12th/Navasota,30.272434000000004,-97.72784399999999,78702
1819 12th/Chicon,30.273695,-97.720001,78702
2601 12th/Cedar,30.274815000000004,-97.712846,78702
2733 12th/New York,30.275203,-97.710441,78702
2863 12th/Alexander,30.275533000000003,-97.708349,78702
2917 12th/Hargrave,30.275868,-97.706343,78702
3021 12th/McKinley,30.276474,-97.702363,78702
3245 12th/Airport,30.276730999999998,-97.700547,78702
3403 12th/Greenwood,30.277301,-97.697085,78721
3525 12th/E M Franklin,30.277721999999997,-97.694402,78721
1201 Webberville/12th,30.278282,-97.68454399999999,78721
1401 Webberville/Ribbecke,30.279405999999998,-97.682614,78721
1419 Webberville/Fort Branch,30.279744,-97.680966,78721
3811 Tannehill/Jackie Robinson,30.276584000000003,-97.675697,78721
4021 Tannehill/Samuel Huston,30.279192,-97.67397700000001,78721
1200 Rundberg/Teasdale,30.354111,-97.681289,78753
Rundberg/Hansford,30.355636999999998,-97.68363000000001,78753
838 Rundberg/Middle Fiskville,30.357219,-97.685998,78753
Georgian/Home Pl.,30.355832,-97.696474,78753
Georgian/Elliott,30.353289,-97.699042,78753
Georgian/Jennifer,30.349752000000002,-97.702016,78753
Georgian/Powell,30.347696999999997,-97.703234,78753
8000 Georgian/Anderson,30.344902,-97.70465899999999,78753
7700 Northcrest/Anderson,30.343359999999997,-97.705878,78753
Crestland/Meadowview,30.339681,-97.711761,78752
7414 Guadalupe/Crestland,30.339901,-97.713146,78752
7106 Guadalupe/St Johns,30.337324,-97.714833,78752
Guadalupe/Swanee,30.335704999999997,-97.715903,78752
105 Highland Mall/Jonathan,30.328490999999996,-97.713603,78752
5600 Avenue F/56th,30.321167,-97.71899599999999,78752
Duval/51st,30.314362,-97.719922,78751
Duval/48th,30.310968,-97.72212900000001,78751
Duval/43rd,30.30438,-97.726357,78751
4002 Duval/41st,30.301674,-97.728038,78751
Duval/33rd,30.295648999999997,-97.731832,78705
3200 Duval/32nd,30.294603000000002,-97.732495,78705
Duval/30th,30.291876000000002,-97.734222,78705
San Jacinto/Dean Keeton NW Corner,30.289599,-97.734686,78705
2324 San Jacinto/24th,30.28671,-97.733652,78705
2300 San Jacinto/23rd,30.285505999999998,-97.73378199999999,78705
2100 San Jacinto/21st,30.283362,-97.734165,78705
715 Riverside/Alameda,30.250734,-97.74061,78704
1005 East Riverside/Travis Heights,30.249589,-97.738348,78704
Riverside/Kenwood,30.248592,-97.736886,78704
1724 Burton/Woodland,30.236152,-97.728459,78741
1920 Burton/Mariposa,30.233860999999997,-97.731812,78741
2310 Parker/Oltorf,30.231873999999998,-97.737285,78741
2504 Parker/Braxton,30.229929,-97.738557,78741
2718 Parker/Royal Hill,30.227503999999996,-97.740505,78741
Woodward/Ben White NW Corner,30.217146999999997,-97.74404200000001,78741
Freidrich/Directors,30.212493,-97.748209,78744
4600 Freidrich/St Elmo,30.208183000000002,-97.750908,78744
Teri/Freidrich,30.202831,-97.753472,78744
5406 Pleasant Valley/Village,30.193289,-97.744743,78744
5802 Pleasant Valley/Leatherleaf,30.188889,-97.74554499999999,78744
6100 Pleasant Valley/Dove Springs,30.185358,-97.745648,78744
6406 Pleasant Valley/Creek Bend,30.182114000000002,-97.74609699999999,78744
6107 Pleasant Valley/Turnstone,30.185198,-97.74519599999999,78744
5803 Pleasant Valley/Village Square,30.188890999999998,-97.74529,78744
5505 Pleasant Valley/Palo Blanco,30.192228999999998,-97.744496,78744
4621 Stassney/Pleasant Valley,30.193067,-97.74450999999999,78744
2522 Stassney/Chaparral,30.193919,-97.747016,78744
2408 Stassney/Palo Blanco,30.193714,-97.750685,78744
2008 Teri/Pepper,30.202365000000004,-97.752499,78744
4801 Freidrich/Teri,30.204465999999996,-97.753036,78744
4601 Freidrich/City Yard,30.208174,-97.75068399999999,78744
4217 Freidrich/St Elmo,30.211335,-97.748705,78744
4115 Freidrich/Woodward,30.213484,-97.746116,78744
Woodward/Ben White SE Corner,30.215081,-97.744146,78741
1901 Woodward/Parker,30.219456,-97.743789,78741
3101 Parker/Wickshire,30.224517,-97.74215799999999,78741
2801 Parker/Royal Hill,30.227381,-97.740387,78741
2501 Parker/Braxton,30.230144,-97.7382,78741
2301 Parker/Oltorf,30.232115999999998,-97.73693399999999,78741
2001 Burton/Mariposa,30.233411,-97.731925,78741
Burton/Valley Hill Cir.,30.23436,-97.730784,78741
1801 Burton/Woodland,30.235764,-97.72851,78741
1000 East Riverside/Travis Heights,30.249906,-97.73859399999999,78704
150 Riverside/Newning,30.255868,-97.74546,78704
2031 San Jacinto/21st,30.283103999999998,-97.73391,78705
2525 San Jacinto/Dean Keeton,30.288776000000002,-97.734397,78705
Duval/Bellevue,30.292127,-97.733917,78705
Duval/32nd,30.293384000000003,-97.733108,78705
Duval/Harris,30.29591,-97.73149000000001,78705
3717 Duval/38th,30.298515000000002,-97.729831,78705
4017 Duval/41st,30.30214,-97.727604,78751
Duval/Park,30.304132,-97.72635799999999,78751
4433 Duval/45th,30.306896000000002,-97.724576,78751
4533 Duval/45th,30.308301,-97.723678,78751
4803 Duval/48th Street,30.311173999999998,-97.721789,78751
Duval/Bruning,30.314434999999996,-97.719695,78751
5613 Avenue F/Koenig,30.321597999999998,-97.71873000000001,78752
6902 Airport Blvd/Guadalupe,30.333977,-97.716818,78752
Guadalupe/Kennistson,30.334694,-97.71637700000001,78752
7125 Guadalupe/St Johns,30.337671000000004,-97.714427,78752
7417 Guadalupe/Crestland,30.339996000000003,-97.712898,78752
7601 Northcrest/Prairie Dell,30.340632,-97.708421,78752
Georgian/Red Oak,30.349494,-97.70200600000001,78753
Georgian/Walnut,30.351297,-97.700509,78753
Georgian/Little Walnut,30.353431,-97.698728,78753
Georgian/Home Place,30.356009000000004,-97.696169,78753
9013 Georgian/Fawnridge,30.358121999999998,-97.69480899999999,78753
307 Rundberg/North Creek,30.360039,-97.692027,78753
829 Rundberg/Middle Fiskville,30.357384999999997,-97.686663,78753
7346 Lamar/Sugaree,30.34127,-97.71682,78752
1041 St Johns/Meador,30.329040000000003,-97.69637,78752
1127 St Johns/Grand Canyon,30.328129999999998,-97.69448,78752
Berkman/US 290 NW Corner,30.3223,-97.68924,78752
6208 Berkman/Glen Valley,30.316451,-97.691223,78723
5810 Berkman/Sweetbriar,30.312310999999998,-97.69366600000001,78723
Berkman/Cloverleaf,30.309341999999997,-97.695539,78723
4612 Springdale/Touchstone,30.289603000000003,-97.680296,78723
4300 Springdale/Martin Luther King,30.286134000000004,-97.682608,78723
Springdale/Oak Cliff,30.285006,-97.68328100000001,78721
Springdale/Kitty,30.283131,-97.684516,78721
Springdale/Glomar,30.281878999999996,-97.685305,78721
1200 Springdale/12th,30.279234000000002,-97.686965,78721
1150 Springdale/Webberville,30.276735,-97.688489,78721
1106 Springdale/Ledesma,30.274303000000003,-97.69009,78721
1050 Springdale/Prock,30.270901000000002,-97.692225,78721
1018 Springdale/Goodwin,30.267578999999998,-97.694349,78721
1006 Springdale/Airport,30.266136,-97.695276,78721
3600 Govalle/Gunter,30.264829,-97.69866400000001,78702
3200 Govalle/Tillery,30.26602,-97.70201999999999,78702
Govalle/Webberville,30.2677,-97.70687,78702
850 Pleasant Valley/Webberville,30.265159999999998,-97.70881,78702
820 Pleasant Valley/Lyons,30.26365,-97.70834,78702
650 Pleasant Valley/7th,30.259735,-97.70972900000001,78702
104 Pleasant Valley/Cesar Chavez,30.253275,-97.712766,78702
1108 Pleasant Valley/Lakeshore,30.242025,-97.717608,78741
2502 Oltorf/Pleasant Valley,30.227843,-97.728279,78741
2030 Oltorf/Willow Creek,30.230518,-97.732354,78741
2201 Burton/Oltorf,30.231208000000002,-97.73355,78741
Burton/Riverside,30.239196000000003,-97.72757800000001,78741
Elmont/Pleasant Valley,30.239077,-97.720327,78741
1100 Pleasant Valley/Lakeshore,30.242290999999998,-97.717206,78741
517 Pleasant Valley (Krieg Field),30.245846000000004,-97.71494799999999,78741
Pleasant Valley/2nd,30.253709999999998,-97.712369,78702
301 Pleasant Valley/3rd,30.255151,-97.7117,78702
501 Pleasant Valley/5th,30.257417999999998,-97.710603,78702
651 Pleasant Valley/7th,30.259906,-97.709468,78702
819 Pleasant Valley/Lyons,30.263527000000003,-97.708225,78702
851 Pleasant Valley/Webberville,30.2653,-97.70876,78702
3601 Govalle/Gunter,30.264615999999997,-97.698463,78702
1017 Springdale/Goodwin,30.267244,-97.694388,78721
1053 Springdale/Prock,30.27106,-97.69193,78721
1107 Springdale/Ledesma,30.274299,-97.689894,78721
1161 Springdale/Webberville,30.277096000000004,-97.688064,78721
1207 Springdale/12th,30.279923999999998,-97.686346,78721
